JENIS_DAGANGAN,BULAN,TAHUN,NEGERI,KAWASAN,SAIZ_SYARIKAT,KOD_DESTINASI_EKSPORT,KOD_NEGARA_ASAL,KAWASAN_EKONOMI,JUMLAH_DAGANGAN_RM,BARANGAN_UTAMA,DESTINASI_EKSPORT,NEGARA_ASAL
EKSPORT,12,2023,JOHOR,SEMENANJUNG,LARGE,KR,MY,"OTHER COUNTRIES, NES",9.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,"Korea, Republic of",Malaysia
EKSPORT,12,2024,SELANGOR,SEMENANJUNG,SME_MEDIUM,CN,MY,"OTHER COUNTRIES, NES",44.0,ALAT GANTI DAN AKSESORI BAGI MESIN PEJABAT & KELENGKAPAN PEMPROSESAN DATA AUTOMATIK,China,Malaysia
EKSPORT,11,2024,PULAU PINANG,SEMENANJUNG,LARGE,SG,MY,AFTA,16309.0,LITAR ELEKTRONIK BERSEPADU,Singapore,Malaysia
EKSPORT,3,2016,KEDAH,SEMENANJUNG,LARGE,US,MY,NAFTA,92750.0,PERABUT KAYU DAN ROTAN,United States of America,Malaysia
EKSPORT,6,2023,SABAH,SABAH,LARGE,SG,MY,AFTA,5000.0,BARANGAN ELEKTRIK DAN ELEKTRONIK YANG LAIN,Singapore,Malaysia
EKSPORT,7,2018,JOHOR,SEMENANJUNG,LARGE,TH,MY,AFTA,151345.0,LITAR ELEKTRONIK BERSEPADU,Thailand,Malaysia
EKSPORT,6,2014,SELANGOR,SEMENANJUNG,LARGE,US,MY,NAFTA,529851.6,OLEOKIMIA BERASASKAN KELAPA SAWIT,United States of America,Malaysia
EKSPORT,1,2020,SELANGOR,ZON BEBAS,LARGE,FR,MY,EU,64937.52,PAKAIAN DAN SEGALA KELENGKAPAN PAKAIAN TERPILIH,France,Malaysia
EKSPORT,12,2023,SELANGOR,ZON BEBAS,LARGE,AU,MY,"OTHER COUNTRIES, NES",1118.0,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Australia,Malaysia
EKSPORT,6,2024,SELANGOR,SEMENANJUNG,LARGE,IT,MY,EU,185786.0,KELENGKAPAN PENDINGINAN DAN PEMANASAN & ALAT GANTI,Italy,Malaysia
EKSPORT,4,2024,PULAU PINANG,ZON BEBAS,SME_MICRO,US,MY,NAFTA,3099928.0,KAYU KUMAI,United States of America,Malaysia
EKSPORT,1,2015,PULAU PINANG,ZON BEBAS,LARGE,AU,MY,"OTHER COUNTRIES, NES",252598.03,"KELENGKAPAN TELEKOMUNIKASI, ALAT GANTI DAN AKSESORI",Australia,Malaysia
